Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,R24 Name,R24 Link,Age,Sex,Viewer Link,AP,ML,DV,Injection Type,Injection Type
SW160525-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,ENTm,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW160525-01A,NA,NA,NA,-4.65,3,-4,CTB 488,pressure (50nl)
SW160525-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,failed,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW160525-01A,NA,NA,NA,NA,NA,,CTB 555,pressure (50nl)
SW160525-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,VII,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW160525-01A,NA,NA,NA,-5.555,1.25,-6,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW160525-01A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/75/6c/756cd8f5634d1b88/1U19MH114821-01/SW160525-01A,NA,NA,NA,-5.555,2,-5.3,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170201-05A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,SC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW170201-05A/,NA,NA,NA,-4.28,0.6,-2.25,1. CTB 555,pressure (50nl)
SW170201-05A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,SC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW170201-05A/,NA,NA,NA,-4.28,0.2,-1.75,2. CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170201-05A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,SC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW170201-05A/,NA,NA,NA,-4.28,0.9,-2.6,3. CTB 488,pressure (50nl)
SW170201-06A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,LatSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW170201-06A/,NA,NA,NA,-3.45,1.25,2.2,CTB 488,pressure (50nl)
SW170201-06A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,MedSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW170201-06A/,NA,NA,NA,-3.45,-0.75,1.9,CTB 555,pressure (50nl)
SW170201-06A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,MedSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW170201-06A/,NA,NA,NA,-3.45,0.25,1.8,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170201-06A,mouse,NCBI:txid10090,C57Bl6,Tracer Injected,retrograde,LatSC,"University of California, Los Angeles",Hongwei Dong,U19MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW170201-06A/,NA,NA,NA,-3.45,1.6,2.4,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170711-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-02A/,NA,NA,NA,0.145,2.65,0.65,CTB 488,pressure (50nl)
SW170711-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-02A/,NA,NA,NA,1.945,1,0.55,CTB 555,pressure (50nl)
SW170711-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-02A/,NA,NA,NA,1.045,1.6,0.7,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170711-02A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSs-cv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-02A/,NA,NA,NA,-1,4.6,1.65,FG ,"iontophoresis (10 min, 7secOn/Off)"
SW170711-03B,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-03B/,NA,NA,NA,1.045,1.6,0.7,CTB 488,pressure (50nl)
SW170711-03B,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSs-cv,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-03B/,NA,NA,NA,-1,4.6,1.65,CTB 555,pressure (50nl)
SW170711-03B,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-03B/,NA,NA,NA,1.945,1,0.55,CTB 647,"iontophoresis (10 min, 7secOn/Off)"
SW170711-03B,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,SSp-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-03B/,NA,NA,NA,0.145,2.65,0.65,FG,"iontophoresis (10 min, 7secOn/Off)"
SW170711-04A,mouse,NCBI:txid10090,C57BL/6J,Tracer Injected,retrograde,MOs-ul,University of Southern California,Hongwei Dong,U01MH114829-01,U01 Dong,BIL,https://download.brainimagelibrary.org/84/c1/84c11fe5e4550ca0/SW170711-04A/,NA,NA,NA,1.945,1,0.55,CTB 488,pressure (50nl)
