Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,Imaging database,Imaging data link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
17109_6201_x4328_y6753,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,VISl6a,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,62 Days,Male,,,,8982.283,1925.564,2466.995
17109_6301_x4756_y24516,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,VISp6a,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,62 Days,Male,,,,8257.593,1523.956,8558.055
17109_6601_x4384_y7436,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,VISl6a,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,62 Days,Male,,,,8542.734,1975.742,2160.052
17109_6601_x5417_y25287,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,VISp6a,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,62 Days,Male,,,,8663.07,1748.836,8848.343
17109_6901_x7203_y26714,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,VISli6a,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,62 Days,Male,,,,8978.894,2311.113,9404.15
17109_7001_x5738_y6470,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,VISli6a,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,62 Days,Male,,,,9349.028,2449.725,2146.835
17109_7001_x6205_y5194,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai140(TIT2L-GFP-ICL-tTA2)/wt,cell morphology,fMOST,VISpor5,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,62 Days,Male,,,,9434.556,2658.593,1615.215
17300_5969_x27278_y20820,17300,mouse,NCBI:txid10090,Plxnd1-CreER/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,VISam5,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,88 Days,Female,,,,7791.136,864.143,7725.083
17781_6262_x6896_y13574,17781,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,VISrl5,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,97 Days,Female,,,,7919.665,1770.004,2296.596
17781_6866_x8954_y41812,17781,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2/wt;Ai82(TITL-GFP)/Ai140(TIT2L-GFP-ICL-tTA2),cell morphology,fMOST,VISli6a,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,97 Days,Female,,,,8563.111,2215.006,9320.148
17787_7070_x12739_y1410,17787,mouse,NCBI:txid10090,Plxnd1-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,VISpm1,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,69 Days,Male,,,,8549.012,447.551,7505.11
182724_5937_x3804_y11955,182724,mouse,NCBI:txid10090,Fezf2-CreER/wt;Ai166(TIT2L-MORF-ICL-tTA2)/wt,cell morphology,fMOST,VISa5,cells,1,Allen Institute for Brain Science ,Sorensen ,1-U19-MH114830-01,zeng_fmost,BIL,,,,88 Days,Male,,,,7168.289,953.689,3959.651
