Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,R24 Name (CV),R24 link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
Cai_n36,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120005",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n36,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n37,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120006",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n37,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n38,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120007",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n38,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n42,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120008",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n42,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n43,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120009",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n43,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n45,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120010",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n45,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n46,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120011",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n46,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n47,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120012",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n47,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n48,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120013",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n48,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n52,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120014",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n52,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n53,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120015",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n53,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n58,,mouse,ID†10090,C57BL/6,cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120016",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n58,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n24,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120017",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n24,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n25,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120018",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n25,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n10,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120019",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n10,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n11,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120020",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n11,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n16,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120021",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n16,,Yes,28-56d,Male/Female,pass,,,,,
Cai_n20,,mouse,ID†10090,"Pvalb::cre, Ai14",cell morphology,Brainbow,BLA,Interneuron,1,"Department of Cell and Developmental Biology, University of Michigan",Dawen Cai†,"NIH 1UF1NS107659, 1R01MH110932, and 1RF1MH120022",Cai,NeuroMorpho.Org,https://neuromorpho.org/neuron_info.jsp?neuron_name=n20,,Yes,28-56d,Male/Female,pass,,,,,
