Manually Curated: Subject to change,,,,,,,,,,,,,,,Total SWC Files,,Unique Contributors,Number of Rows,Rows Remaining to be Verified by contributor,,Locations
Dataset Type,Number of Rows,,Dataset Type 2,Number of Rows,,Virus Spread,Number of Rows,,Modality,Number of Rows,,Atlas Aligned?,Number of Rows,,274879,,"Zeng, Hongkui",1300,1300,,ACAd Anterior cingulate area;dorsal part
Cell Density,1045,,Morphology,1169,,Anterograde,172,,Confocal,3,,Both,34,,,,"Dong, Hongwei",387,387,,ACAd:MOp:SSp-ll:SSp-n
Morphology,1,,,0,,Retrograde,1008,,EM,301,,FALSE,1,,,,Z. Josh Huang,345,345,,ACAd:TTd:TTd
Tracer Injected,1522,,,0,,Systemic Injection,23,,fMOST,530,,TRUE,286,,,,Hongwei Dong,35,35,,ACAd/MOs:DP:DP
,0,,,0,,,0,,Histology,33,,,0,,,,Ed Lein,405,405,,ACAd/PL_5:ORB-vl:LSR:LHA
,0,,,0,,,0,,Light Sheet,364,,,0,,,,"Lein, Ed",609,609,,ACAv
,0,,,0,,,0,,MRI,44,,,0,,,,Xiaoyin Chen,7,7,,"ACAv Anterior cingulate area, ventral part"
,0,,,0,,,0,,Patch-seq,999,,,0,,,,Evan Macosko,33,33,,ACAv:ILA:ILA
,Total,,,Total,,,Total,,Spatial Transcriptomics,47,,,Total,,,,Ulrich Mueller,4,4,,ACAv:MOs: PL
,2568,,,1169,,,1203,,STPT,2008,,,321,,,,Bosiljka Tasic,202,202,,ACAv:MOs:fail
,,,,,,,,,,0,,,,,,,"Osten, Pavel",67,67,,ACAv:VAL:PF
,,,,,,,,,,0,,,,,,,Pavel Osten,307,307,,ACB:CP/CLA:CP(r):ACAv
,,,,,,,,,,0,,,,,,,Yongsoo Kim,552,552,,ACB:SUB:SUB
,,,,,,,,,,0,,,,,,,Brian Cleary,12,12,,ACB:SUBv:SUBv:ACB
,,,,,,,,,,0,,,,,,,Guoping Feng,218,218,,ACB.m:SNC/r.d.m
,,,,,,,,,,0,,,,,,,"Yang, X. William",78,78,,aco:VMHvl/TU:PVp:BSTpr
,,,,,,,,,,0,,,,,,,"Seeds, Andrew",134,134,,ACVII/PARN:MOp_m:CEAm/c
,,,,,,,,,,0,,,,,,,Guoping Fneg,36,36,,AHN:SUB:SUB
,,,,,,,,,,Total,,,,,,,Xiaowei Zhuang,18,18,,AId
,,,,,,,,,,4329,,,,,,,Xiaowei Zhuang and Catherine Dulac,4,4,,AId Agranular insular area;dorsal part
,,,,,,,,,,,,,,,,,Qingming Luo,26,26,,Ald_2/3:MOs_5:MOp_5
,,,,,,,,,,,,,,,,,Andreas Tolias,1,1,,ALv:PIR:TEa
,,,,,,,,,,,,,,,,,Robert Cudmore,2,2,,AM Anteromedial nucleus
,,,,,,,,,,,,,,,,,Mitra,1,1,,AnG
,,,,,,,,,,,,,,,,,Xiaowei Zhuang and Yi Zhang,1,1,,AOB Accessory olfactory bulb
,,,,,,,,,,,,,,,,,"Kriegstein, Arnold",3,3,,AONm;TTd;MOs;ACAd;AD;AMv;fx;RSPagl;RSPd
,,,,,,,,,,,,,,,,,Li Zhang,4,4,,AOrG
,,,,,,,,,,,,,,,,,Guoqiang Bi,54,54,,APN Anterior pretectal nucleus
