Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,Imaging Database,Imaging Datalink,Age,Sex,Viewer Link,AP,ML,DV,Injection Type
170505_KM_FezfLSLflpS1ABC1female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/170505_KM_FezfLSLflpS1ABC1female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170505,-1.7,3.75,0.7, AAV2/8-Cag-fDIO TVAeGFP
170506_KM_PlexLSLflpS1ABC1female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/170506_KM_PlexLSLflpS1ABC1female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170506,-1.7,3.75,0.6, AAV2/8-Cag-fDIO TVAeGFP
170519_KM_PlexLSLflpS1ABC2male,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/170519_KM_PlexLSLflpS1ABC2male_processed/,,M,https://brainviewer.org:3010/HUA_U19_170519,-1.7,3.75,0.6, AAV2/8-Cag-fDIO TVAeGFP
170609_WG_KM_Tle4LSLflp_ABCfemale,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/170609_WG_KM_Tle4LSLflp_ABCfemale_processed/,7,F,https://brainviewer.org:3010/HUA_U19_170609,-1.8,3.75,1.1, AAV2/8-CAG-fd-ChR2-EYFP
170702_KM_fezfABC_female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/170702_KM_fezfABC_female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170702,-1.7,3.75,0.7, AAV2/8-Cag-fDIO TVAeGFP
170928_KM_Foxp2-cres1inj,mouse,NCBI:txid10090,Foxp2Cre,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/170928_KM_Foxp2-cres1inj_processed/,,M,https://brainviewer.org:3010/HUA_U19_170928,-1.8,3.75,0.9, AAV2/8-CAG-fd-ChR2-EYFP
171003_KM_Foxp2s1abcmale,mouse,NCBI:txid10090,Foxp2Cre,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/171003_KM_Foxp2s1abcmale_processed/,,M,https://brainviewer.org:3010/HUA_U19_171003,-1.2,3.75,0.8, AAV2/8-CAG-fd-ChR2-EYFP
171005_KM_Foxp2Cres1abcmale,mouse,NCBI:txid10090,Foxp2Cre,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/171005_KM_Foxp2Cres1abcmale_processed/,,M,https://brainviewer.org:3010/HUA_U19_171005,-1.4,3.8,0.9, AAV2/8-CAG-fd-ChR2-EYFP
171106_KM_Tle4_LSLflp_ABCfemale,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/171106_KM_Tle4_LSLflp_ABCfemale_processed/,7,F,https://brainviewer.org:3010/HUA_U19_171106,-1.6,4,0.8, AAV2/8-CAG-fd-ChR2-EYFP
171107_KM_Tle4_LSLflp_ABCmale,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/171107_KM_Tle4_LSLflp_ABCmale_processed/,7,M,https://brainviewer.org:3010/HUA_U19_171107,-1,3.8,0.7, AAV2/8-CAG-fd-ChR2-EYFP
171108_KM_Tle4_LSLflp_ABCmale,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/171108_KM_Tle4_LSLflp_ABCmale_processed/,7,M,https://brainviewer.org:3010/HUA_U19_171108,-1.1,3.8,0.7, AAV2/8-CAG-fd-ChR2-EYFP
180313_KM_WG_PlexlslFlpFdTVABfdfemale_,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,SSp-bfd,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,8,F,https://brainviewer.org:3010/HUA_U19_180313,-1.5,3.7,0.7, AAV2/8-Cag-fDIO TVAeGFP
180402_HK_KM_PlexinLSLflp_ALM_femaleA1,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOs,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180402_HK_KM_PlexinLSLflp_ALM_femaleA1_processed/,19,F,https://brainviewer.org:3010/HUA_U19_180402,1.5,2.2,0.5, AAV2/8-Cag-fDIO TVAeGFP
180403_HK_KM_Tle4LSLflp_S1_maleA3,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,SSp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180403_HK_KM_Tle4LSLflp_S1_maleA3_processed/,12,M,https://brainviewer.org:3010/HUA_U19_180403,-0.76,3.5,0.8, AAV2/8-Cag-fDIO TVAeGFP
180406_WG_KM_PlxnD1_S1_female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,SSp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180406_WG_KM_PlxnD1_S1_female_processed/,12,F,https://brainviewer.org:3010/HUA_U19_180406,-1.8,3.8,0.7, AAV2/8-Cag-fDIO TVAeGFP
180410_HK_KM_PlexinD1_ALM_female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,MOs,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180410_HK_KM_PlexinD1_ALM_female_processed/,12,F,https://brainviewer.org:3010/HUA_U19_180410,2,1.5,0.7, AAV2/8-Cag-fDIO TVAeGFP
180514_HK_Tle4_V2M_male_A13,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,VISam,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,15,M,https://brainviewer.org:3010/HUA_U19_180514,-2.8,1.8,0.9, AAV2/8-Cag-fDIO TVAeGFP
180515_HK_Tle4_Parietal_male_A14,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,PTLp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,15,M,https://brainviewer.org:3010/HUA_U19_180515,-2.2,2,0.9, AAV2/8-Cag-fDIO TVAeGFP
180517_HK_Tle4_Cing_female_A16,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,ACAv,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180517_HK_Tle4CingfemaleA16_processed/,12,F,https://brainviewer.org:3010/HUA_U19_180517,0,0.5,1.6, AAV2/8-Cag-fDIO TVAeGFP
180522_KM_FezfLSLflpABCS1female_processed,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,SSp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_180522,,,,
180525_WG_Fezf2lslFlpAnteriorMoPOrofacial_female,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180525_WG_Fezf2lslFlpAnteriorMoPOrofacial_female_processed/,18,F,https://brainviewer.org:3010/HUA_U19_180525,1.9,2.5,2.5, AAV2/8-Cag-fDIO TVAeGFP
180605_WG_Tle4lslFlpRPCFA_female,mouse,NCBI:txid10090,Tle4CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180605_WG_Tle4lslFlpRPCFA_female_processed/,16,F,https://brainviewer.org:3010/HUA_U19_180605,0.5,1.7,1.5, AAV2/8-Cag-fDIO TVAeGFP
180612_WG_Fezf2lslFlp_CFA_female307_B003,mouse,NCBI:txid10090,Fezf2CreER;lslFlp,Projection,STPT,MOp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,18,M,https://brainviewer.org:3010/HUA_U19_180612,0.4,1.5,1.5, AAV2/8-Cag-fDIO TVAeGFP
180628_HK_RP_PlexinD1PLA20female_,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,PL,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/d3/30/d33094626b33d550/180628_HK_RP_PlexinD1PLA20female_processed,15,F,https://brainviewer.org:3010/HUA_U19_180628,1.4,0.5,1.5, AAV2/8-Cag-fDIO TVAeGFP
180702_A022_WG_PlexinD1V1female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,VISp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180702_A022_WG_PlexinD1V1female_processed/,16,F,https://brainviewer.org:3010/HUA_U19_180702,-3,2.7,0.8, AAV2/8-Cag-fDIO TVAeGFP
180706_HK023_WG_PlxnD1lslFlpA1Female,mouse,NCBI:txid10090,PlexinD1CreER;lslFlp,Projection,STPT,AUDp,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180706_HK023_WG_PlxnD1lslFlpA1Female_processed/,17,F,https://brainviewer.org:3010/HUA_U19_180706,-2.8,4.5,2.5, AAV2/8-Cag-fDIO TVAeGFP
