Sample ID,Donor ID,Species,Species NCBI Taxonomy ID,Genotype,Modality,Technique,Anatomical Structure,Subspecimen Type,Total Processed Subspecimens,Organization,Investigator,Grant Number,Project,Imaging database,Imaging data link,Comments,Metadata Submission,Age,Sex,QC,Download Link,Visualization Link,Soma_X(CCFv3_1𝜇𝑚),Soma_Y(CCFv3_1𝜇𝑚),Soma_Z(CCFv3_1𝜇𝑚)
15257_2226_x16029_y23953,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,MOs,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_2226_x16029_y23953_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_2226_x16029_y23953_CCFv3,2953.52,2879.02,3753.05
15257_2309_x13266_y25533,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,MOs,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_2309_x13266_y25533_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_2309_x13266_y25533_CCFv3,3360.52,4078.52,3174.52
15257_2627_x17126_y20600,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,ACAd,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_2627_x17126_y20600_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_2627_x17126_y20600_CCFv3,3426.95,2009.28,5138.98
15257_3271_x15413_y13333,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,MOp,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_3271_x15413_y13333_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_3271_x15413_y13333_CCFv3,4440.12,2628,8036.3
15257_4021_x16401_y21556,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,MOs,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_4021_x16401_y21556_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_4021_x16401_y21556_CCFv3,5478.52,1682.57,4882.1
15257_4149_x16164_y21238,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,ACAd,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_4149_x16164_y21238_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_4149_x16164_y21238_CCFv3,5674.52,1737.72,5003.65
15257_4397_x16794_y21812,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,MOp,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_4397_x16794_y21812_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_4397_x16794_y21812_CCFv3,5906.85,1339.68,4785.7
15257_4485_x16442_y16836,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,MOp,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_4485_x16442_y16836_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_4485_x16442_y16836_CCFv3,5973.88,1427.1,6585.3
15257_4500_x16614_y17147,15257,mouse,NCBI:txid10090,Pvalb-T2A-CreERT2;Ai139,cell morphology,fMOST,MOs,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/df/75/df75626840c76c15/mouseID_210254-15257,,,54,Female,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_15257_4500_x16614_y17147_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_15257_4500_x16614_y17147_CCFv3,5979.8,1331.78,6464.42
17109_1701_x8048_y22277,17109,mouse,NCBI:txid10090,Gnb4-IRES2-CreERT2;Ai140,cell morphology,fMOST,AId,cells,1,SEU-Allen Joint Center,Hanchuan Peng,,zeng_fmost,BIL,/bil/data/biccn/zeng/luo/fmost/mouseID_297974-17109,,,62,Male,,https://download.neuroxiv.org/SEU-A1876/SEU-ALLEN_full_17109_1701_x8048_y22277_CCFv3.swc,https://neuroxiv.org/?id=SEU-ALLEN_full_17109_1701_x8048_y22277_CCFv3,2820.18,3990.05,7795.55
