General Modality,Dataset Type,Technique,Virus Spread (if applicable),Imaging Modality,Atlas Aligned,Species,Genotype,Brain Regions,Number of SWC files,URL,BIL directory,BIL UUID,Metadata version,Project,Contributor Name,Affiliation,Grant number,NCBI taxonomy,Sample local ID,Title,Abstract
connectivity,Tracer Injected,retrograde tracing,Retrograde,,,mouse,C57Bl6,ACA:ACA:ACA,,https://download.brainimagelibrary.org/12/31/1231ea9a51cf9003/1U19MH114821-01/SW220327-03A,/bil/data/12/31/1231ea9a51cf9003/1U19MH114821-01/SW220327-03A,1231ea9a51cf9003,1,U19 Huang,Hongwei Dong,"University of California, Los Angeles",1-U19-MH114821-01,NCBI:txid10090,SW220327-03,2022 Q2 U19 Huang Level 1 Mini Atlas Data Upload,Level 1 -- Raw Split Channel TIFF Images
connectivity,Tracer Injected,transsynaptic,,STPT,,mouse,Cux2-IRES-Cre,ACAd Anterior cingulate area;dorsal part,,https://download.brainimagelibrary.org/74/02/7402741313727c9b/tissuecyte_data/0500368582/,/bil/data/74/02/7402741313727c9b/tissuecyte_data/0500368582/,7402741313727c9b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,669102543,AI_transsynaptic_September_2018_a,53 trans-synaptic two-photon serial tomography Mouse coronal image data sets
connectivity,Tracer Injected,transsynaptic,,STPT,,mouse,Syt6-Cre_KI148,ACAd Anterior cingulate area;dorsal part,,https://download.brainimagelibrary.org/74/02/7402741313727c9b/tissuecyte_data/0500371781/,/bil/data/74/02/7402741313727c9b/tissuecyte_data/0500371781/,7402741313727c9b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,668795135,AI_transsynaptic_September_2018_a,53 trans-synaptic two-photon serial tomography Mouse coronal image data sets
connectivity,Tracer Injected,transsynaptic,,STPT,,mouse,Syt6-Cre_KI148,ACAd Anterior cingulate area;dorsal part,,https://download.brainimagelibrary.org/74/02/7402741313727c9b/tissuecyte_data/0500372068/,/bil/data/74/02/7402741313727c9b/tissuecyte_data/0500372068/,7402741313727c9b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,664878588,AI_transsynaptic_September_2018_a,53 trans-synaptic two-photon serial tomography Mouse coronal image data sets
connectivity,Tracer Injected,transsynaptic,,STPT,,mouse,Syt6-Cre_KI148,ACAd Anterior cingulate area;dorsal part,,https://download.brainimagelibrary.org/74/02/7402741313727c9b/tissuecyte_data/0500373088/,/bil/data/74/02/7402741313727c9b/tissuecyte_data/0500373088/,7402741313727c9b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,673657024,AI_transsynaptic_September_2018_a,53 trans-synaptic two-photon serial tomography Mouse coronal image data sets
connectivity,Tracer Injected,retrograde tracing,Retrograde,,TRUE,mouse,C57Bl6,ACAd:MOp:SSp-ll:SSp-n,,https://download.brainimagelibrary.org/82/e9/82e9592c90c456ef/1U01MH114829-01/SW181012-01A/,/bil/data/82/e9/82e9592c90c456ef/1U01MH114829-01/SW181012-01A/,82e9592c90c456ef,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW181012-01A,2019 Q2 U01 Dong Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent labeled Tiff images.
connectivity,,TRIO tracing,,,TRUE,mouse,C57Bl6,ACAd:TTd:TTd,,https://download.brainimagelibrary.org/90/a9/90a90c314769c834/1U01MH114829-01/SW191017-02A,/bil/data/90/a9/90a90c314769c834/1U01MH114829-01/SW191017-02A,90a90c314769c834,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW191017-02A,2019 Q4 U01 Dong Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent tracer labeled tiff images.
connectivity,,TRIO tracing,,,TRUE,mouse,C57Bl6,ACAd/MOs:DP:DP,,https://download.brainimagelibrary.org/9d/6d/9d6d3526d842d47f/1U19MH114831-01/SW190905-10A,/bil/data/9d/6d/9d6d3526d842d47f/1U19MH114831-01/SW190905-10A,9d6d3526d842d47f,1,U19 Ecker,"Dong, Hongwei",University of Southern California,1-U19-MH114831-01,NCBI:txid10090,SW190905-10A,2019 Q4 U19 Ecker Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent tracer labeled tiff images
connectivity,Tracer Injected,retrograde tracing,Retrograde,,TRUE,mouse,C57Bl6,ACAd/PL_5:ORB-vl:LSR:LHA,,https://download.brainimagelibrary.org/82/e9/82e9592c90c456ef/1U01MH114829-01/SW190215-01A/,/bil/data/82/e9/82e9592c90c456ef/1U01MH114829-01/SW190215-01A/,82e9592c90c456ef,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW190215-01A,2019 Q2 U01 Dong Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent labeled Tiff images.
connectivity,Tracer Injected,retrograde transsynaptic tracing,Retrograde,STPT,,mouse,C57BL/6J;Cux2-IRES-Cre;,ACAv,,https://download.brainimagelibrary.org/17/28/1728aaa5a67cb758/0539057675/,/bil/data/17/28/1728aaa5a67cb758/0539057675/,1728aaa5a67cb758,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,AIBS_803549408,AI_transsynaptic_June_2019,23 trans-synaptic two-photon serial tomography Mouse coronal image data sets
population imaging,Cell Density,STPT,,STPT,,mouse,NA,ACAv,,https://download.brainimagelibrary.org/5c/e8/5ce841021ae87be8/180831_JH_HK35_Fezf2LSLflp_ACAv_female_processed/,/bil/data/5c/e8/5ce841021ae87be8/180831_JH_HK35_Fezf2LSLflp_ACAv_female_processed/,5ce841021ae87be8,1,U19 Huang,Z. Josh Huang,Cold Spring Harbor Laboratory,1-U19-MH114821-01,NCBI:txid10091,180831_JH_HK35_Fezf2LSLflp_ACAv_female,180831_JH_HK35_Fezf2LSLflp_ACAv_female,Huang U19
population imaging,Cell Density,STPT,,STPT,,mouse,NA,ACAv,,https://download.brainimagelibrary.org/ec/3d/ec3d1558fe82cb6a/190102_JH_HK0077_PlexinD1LSLflp_ACAv_female_processed/,/bil/data/ec/3d/ec3d1558fe82cb6a/190102_JH_HK0077_PlexinD1LSLflp_ACAv_female_processed/,ec3d1558fe82cb6a,1,U19 Huang,Z. Josh Huang,Cold Spring Harbor Laboratory,1-U19-MH114821-01,NCBI:txid10090,190102_JH_HK0077_PlexinD1LSLflp_ACAv_female,190102_JH_HK0077_PlexinD1LSLflp_ACAv_female,Huang U19
connectivity,,STPT,,STPT,,mouse,Strain_Name='C57BL6/Agouti/Swiss'; Pynline_Driver_InjectionSite='Tle4CingfemaleA16',ACAv,,https://download.brainimagelibrary.org/84/aa/84aa97d12a6c17ba/180517_HK_Tle4CingfemaleA16_processed/,/bil/data/84/aa/84aa97d12a6c17ba/180517_HK_Tle4CingfemaleA16_processed/,84aa97d12a6c17ba,1,U19 Huang,Z. Josh Huang,Cold Spring Harbor Laboratory,1-U19-MH114821-01,NCBI:txid10090,180517_HK_Tle4CingfemaleA16_processed,84aa97d12a6c17ba,Collection 84aa97d12a6c17ba
connectivity,Tracer Injected,retrograde transsynaptic tracing,Retrograde,STPT,,mouse,Rbp4-Cre_KL100/wt,"ACAv Anterior cingulate area, ventral part",,https://download.brainimagelibrary.org/ec/80/ec8077684d25fc8b/0539059853,/bil/data/ec/80/ec8077684d25fc8b/0539059853,ec8077684d25fc8b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,AIBS_791852680,AI_transsynaptic_September_2019,trans-synaptic two-photon serial tomography Mouse coronal image data sets
connectivity,Tracer Injected,retrograde transsynaptic tracing,Retrograde,STPT,,mouse,Cux2-IRES-Cre/wt,"ACAv Anterior cingulate area, ventral part",,https://download.brainimagelibrary.org/ec/80/ec8077684d25fc8b/0539059854,/bil/data/ec/80/ec8077684d25fc8b/0539059854,ec8077684d25fc8b,1,U19 Zeng,"Zeng, Hongkui",Allen Institute for Brain Science,1-U19-MH114830-01,NCBI:txid10090,AIBS_834838796,AI_transsynaptic_September_2019,trans-synaptic two-photon serial tomography Mouse coronal image data sets
connectivity,,TRIO tracing,,,TRUE,mouse,C57Bl6,ACAv:ILA:ILA,,https://download.brainimagelibrary.org/90/a9/90a90c314769c834/1U01MH114829-01/SW190801-03A,/bil/data/90/a9/90a90c314769c834/1U01MH114829-01/SW190801-03A,90a90c314769c834,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW190801-03A,2019 Q4 U01 Dong Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent tracer labeled tiff images.
connectivity,Tracer Injected,anterograde tracing,Anterograde,,TRUE,mouse,C57Bl6,ACAv:MOs: PL,,https://download.brainimagelibrary.org/4b/56/4b566d18d8902206/1U19MH114821-01/SW180227-03A_olivaw/,/bil/data/4b/56/4b566d18d8902206/1U19MH114821-01/SW180227-03A_olivaw/,4b566d18d8902206,1,U19 Huang,"Dong, Hongwei",University of Southern California,1-U19-MH114821-01,NCBI:txid10090,SW180227-03A,2019 Q2 U19 Huang Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent tracer labeled tiff images.
connectivity,Tracer Injected,anterograde tracing,Anterograde,,TRUE,mouse,NA,ACAv:MOs:fail,,https://download.brainimagelibrary.org/f1/6e/f16e93e3ff05538e/2018Q4_U19CSHL/SW180228-03A/,/bil/data/f1/6e/f16e93e3ff05538e/2018Q4_U19CSHL/SW180228-03A/,f16e93e3ff05538e,1,U19 Huang,"Dong, Hongwei",University of Southern California,1-U19-MH114821-01,NCBI:txid10090,SW180228-03A,2018 Q4 U19 CSHL Mini Atlas Data Upload,A collection Level 2 (i.e. registered) mouse brain light microscopy section images for U19 CSHL.
connectivity,Tracer Injected,anterograde tracing,Anterograde,,TRUE,mouse,C57Bl6,ACAv:VAL:PF,,https://download.brainimagelibrary.org/90/a9/90a90c314769c834/1U01MH114829-01/SW190830-02A,/bil/data/90/a9/90a90c314769c834/1U01MH114829-01/SW190830-02A,90a90c314769c834,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW190830-02A,2019 Q4 U01 Dong Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent tracer labeled tiff images.
connectivity,Tracer Injected,retrograde tracing,Retrograde,,TRUE,mouse,NA,ACB:CP/CLA:CP(r):ACAv,,https://download.brainimagelibrary.org/e8/20/e820c8267a0cbedb/2018Q4_U01/SW180514-01A/,/bil/data/e8/20/e820c8267a0cbedb/2018Q4_U01/SW180514-01A/,e820c8267a0cbedb,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW180514-01A,2018 Q4 U01 Mini Atlas Data Upload,A collection Level 2 (i.e. registered) mouse brain light microscopy section images for the U01.
connectivity,,TRIO tracing,,,,mouse,C57Bl6,ACB:SUB:SUB,,https://download.brainimagelibrary.org/bb/65/bb65b3ba913c2aa2/1U19MH114831-01/SW220214-01A,/bil/data/bb/65/bb65b3ba913c2aa2/1U19MH114831-01/SW220214-01A,bb65b3ba913c2aa2,1,U19 Ecker,Hongwei Dong,"University of California, Los Angeles",1-U19-MH114831-01,NCBI:txid10090,SW220214-01A,2022 Q2 U19 Ecker Level 1 Mini Atlas Data Upload,Level 1 -- Raw split-channel tiff images
connectivity,,TRIO tracing,,,,mouse,C57Bl6,ACB:SUBv:SUBv:ACB,,https://download.brainimagelibrary.org/61/90/6190bf65dac65960/1U19MH114831-01/SW210301-01A,/bil/data/61/90/6190bf65dac65960/1U19MH114831-01/SW210301-01A,6190bf65dac65960,1,U19 Ecker,"Dong, Hongwei","University of California, Los Angeles",1-U19-MH114831-01,NCBI:txid10090,SW210301-01,2021 Q3 U19 Ecker Level 1 Mini Atlas Data Upload,Level 1 -- Raw split channel tiff images
connectivity,Tracer Injected,anterograde tracing,Anterograde,,TRUE,mouse,C57Bl6,ACB.m:SNC/r.d.m,,https://download.brainimagelibrary.org/90/a9/90a90c314769c834/1U01MH114829-01/SW191004-08A,/bil/data/90/a9/90a90c314769c834/1U01MH114829-01/SW191004-08A,90a90c314769c834,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW191004-08A,2019 Q4 U01 Dong Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent tracer labeled tiff images.
connectivity,Tracer Injected,anterograde tracing,Anterograde,,TRUE,mouse,C57Bl6,ACB.m:SNC/r.d.m,,https://download.brainimagelibrary.org/90/a9/90a90c314769c834/1U01MH114829-01/SW191004-09A,/bil/data/90/a9/90a90c314769c834/1U01MH114829-01/SW191004-09A,90a90c314769c834,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW191004-09A,2019 Q4 U01 Dong Level 2 Mini Atlas Data Upload,Level 2 -- Registered fluorescent tracer labeled tiff images.
connectivity,,NA,,,,mouse,C57Bl6,aco:VMHvl/TU:PVp:BSTpr,,https://download.brainimagelibrary.org/82/19/82197a758a3b87d2/1U19MH114821-01/SW210421-02A/,/bil/data/82/19/82197a758a3b87d2/1U19MH114821-01/SW210421-02A/,82197a758a3b87d2,1,U19 Huang,"Dong, Hongwei","University of California, Los Angeles",1-U19-MH114821-01,NCBI:txid10090,SW210421-02,2021 Q4 U19 Huang Level 1 Mini Atlas Data Upload,Level 1 -- Raw Split Channel TIFF Images
connectivity,Tracer Injected,anterograde tracing,Anterograde,,TRUE,mouse,NA,ACVII/PARN:MOp_m:CEAm/c,,https://download.brainimagelibrary.org/e8/20/e820c8267a0cbedb/2018Q4_U01/SW180628-02A/,/bil/data/e8/20/e820c8267a0cbedb/2018Q4_U01/SW180628-02A/,e820c8267a0cbedb,1,U01 Dong,"Dong, Hongwei",University of Southern California,1-U01-MH114829-01,NCBI:txid10090,SW180628-02A,2018 Q4 U01 Mini Atlas Data Upload,A collection Level 2 (i.e. registered) mouse brain light microscopy section images for the U01.
connectivity,,TRIO tracing,,,,mouse,C57Bl6,AHN:SUB:SUB,,https://download.brainimagelibrary.org/67/8f/678f4a67584490df/1U19MH114831-01/SW210927-04A,/bil/data/67/8f/678f4a67584490df/1U19MH114831-01/SW210927-04A,678f4a67584490df,1,U19 Ecker,Hongwei Dong,"University of California, Los Angeles",1-U19-MH114831-01,NCBI:txid10090,SW210927-04,2022 Q1 U19 Ecker Level 1 Mini Atlas Data Upload,Level 1 -- Raw split-channel tiff images
connectivity,,TRIO tracing,,,,mouse,C57Bl6,AHN:SUB:SUB,,https://download.brainimagelibrary.org/bb/65/bb65b3ba913c2aa2/1U19MH114831-01/SW220215-05A,/bil/data/bb/65/bb65b3ba913c2aa2/1U19MH114831-01/SW220215-05A,bb65b3ba913c2aa2,1,U19 Ecker,Hongwei Dong,"University of California, Los Angeles",1-U19-MH114831-01,NCBI:txid10090,SW220215-05A,2022 Q2 U19 Ecker Level 1 Mini Atlas Data Upload,Level 1 -- Raw split-channel tiff images
connectivity,,TRIO tracing,,,,mouse,C57Bl6,AHN:SUB:SUB,,https://download.brainimagelibrary.org/bb/65/bb65b3ba913c2aa2/1U19MH114831-01/SW220215-06A,/bil/data/bb/65/bb65b3ba913c2aa2/1U19MH114831-01/SW220215-06A,bb65b3ba913c2aa2,1,U19 Ecker,Hongwei Dong,"University of California, Los Angeles",1-U19-MH114831-01,NCBI:txid10090,SW220215-06A,2022 Q2 U19 Ecker Level 1 Mini Atlas Data Upload,Level 1 -- Raw split-channel tiff images
connectivity,Tracer Injected,anterograde tracing,Anterograde,,,mouse,,AId,,https://download.brainimagelibrary.org/9c/64/9c6442e30a8d12d9/191107_JH_HK0233_Fezf2LSLflp_Ald_insula_male_processed,/bil/data/9c/64/9c6442e30a8d12d9/191107_JH_HK0233_Fezf2LSLflp_Ald_insula_male_processed,9c6442e30a8d12d9,1,U19 Huang,Z. Josh Huang,Cold Spring Harbor Laboratory,1-U19-MH114821-01,NCBI:txid10090,191107_JH_HK0233_Fezf2LSLflp_Ald_insula_male_processed,191107_JH_HK0233_Fezf2LSLflp_Ald_insula_male,Huang U19
population imaging,Cell Density,STPT,,STPT,,mouse,NA,AId,,https://download.brainimagelibrary.org/61/f2/61f2ec024d5f6558/190604_JH_HK0155_PlexinD1LSLflp_AId_Insula_male_processed/,/bil/data/61/f2/61f2ec024d5f6558/190604_JH_HK0155_PlexinD1LSLflp_AId_Insula_male_processed/,61f2ec024d5f6558,1,U19 Huang,Z. Josh Huang,Cold Spring Harbor Laboratory,1-U19-MH114821-01,NCBI:txid10090,190604_JH_HK0155_PlexinD1LSLflp_AId_Insula_male,190604_JH_HK0155_PlexinD1LSLflp_AId_Insula_male,Huang U19
