Case ID,Species,NCBI Taxonomy,GenoType,Modality,Technique,Anatomical Region,Organization,Investigator,Grant Number,Project,R24 Name,R24 Link,Age,Sex,Viewer Link
160611_KM_PlexinAi14_male72,mouse,NCBI:txid10090,PlexinD1CreER;Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/160611_KM_PlexinAi14_male72_processed/,,M,https://brainviewer.org:3010/HUA_U19_160611
160813_KM_Sema3EAi14,mouse,NCBI:txid10090,Sema3eAi14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/160813_KM_Sema3EAi14_processed/,,,https://brainviewer.org:3010/HUA_U19_160813
160818_KM_Sema3EAi14,mouse,NCBI:txid10090,Sema3eAi14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,,https://brainviewer.org:3010/HUA_U19_160818
160820_KM_AdcyapAi14_mal,mouse,NCBI:txid10090,AdcyapAi14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_160820
160825_KM_TcergAi14,mouse,NCBI:txid10090,TcergCreER;Ai14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,,https://brainviewer.org:3010/HUA_U19_160825
160827_KM_TcergAi14,mouse,NCBI:txid10090,TcergAi14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,N/A,https://brainviewer.org:3010/HUA_U19_160827
160908_KM_Tle4Ai14male2mo,mouse,NCBI:txid10090,Tle4CreER;Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/160908_KM_Tle4Ai14male2mo_processed/,8,M,https://brainviewer.org:3010/HUA_U19_160908
160909_KM_Tle4Ai14male2mo,mouse,NCBI:txid10090,Tle4Ai14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_160909
160911_KM_Tle4Ai14female2mo,mouse,NCBI:txid10090,Tle4CreER;Ai14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_160911
161002_KM_AdcyapAi14_male,mouse,NCBI:txid10090,Adcyap;Ai14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_161002
161007_KM_TcergAi14_male,mouse,NCBI:txid10090,TcergCreER;Ai14,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/48/8f/488f0cbd3de76a4a/level_1/161007_KM_TcergAi14_male_processed,,M,https://brainviewer.org:3010/HUA_U19_161007
161013_KM_TcergAi14_female,mouse,NCBI:txid10090,TcergCreER;Ai14,Distribution,STPT,,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_161013
161027_KM_Adcyap1_Ai14_male,mouse,NCBI:txid10090,Adcyap;Ai14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,M,https://brainviewer.org:3010/HUA_U19_161027
161104_KM_AdcyapAi14Female,mouse,NCBI:txid10090,Adcyap;Ai14,Distribution,STPT,N/A,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,,,F,https://brainviewer.org:3010/HUA_U19_161104
170112_KM_Fezfh2bGFPfemale,mouse,NCBI:txid10090,Fezf2h2bGFP,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170112_KM_Fezfh2bGFPfemale_processed/,,F,https://brainviewer.org:3010/HUA_U19_170112
170114_KM_Fezfh2bgfpmale,mouse,NCBI:txid10090,Fezf2h2bGFP,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170114_KM_Fezfh2bgfpmale_processed/,,M,https://brainviewer.org:3010/HUA_U19_170114
170225_KM_FezfAi14female,mouse,NCBI:txid10090,Fezf2CreER;Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170225_KM_FezfAi14female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170225
170504_KM_FezfAi14female,mouse,NCBI:txid10090,Fezf2CreER;Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170504_KM_FezfAi14female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170504
170601PlexCreERAi14female,mouse,NCBI:txid10090,PlexinD1CreER;Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170601PlexCreERAi14female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170601
170602PlexCreERAi14female,mouse,NCBI:txid10090,PlexinD1CreER;Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170602PlexCreERAi14female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170602
170608_KM_FezfAi14_female,mouse,NCBI:txid10090,Fezf2Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170608_KM_FezfAi14_female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170608
170622_KM_Fezfh2bGFPmale,mouse,NCBI:txid10090,Fezf2CreER;H2bGFP,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170622_KM_Fezfh2bGFPmale_processed/,,M,https://brainviewer.org:3010/HUA_U19_170622
170630_KM_fezh2bGFPfemale,mouse,NCBI:txid10090,Fezf2CreER;H2bGFP,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170630_KM_fezh2bGFPfemale_processed/,,F,https://brainviewer.org:3010/HUA_U19_170630
170706_KM_FezfAi14female,mouse,NCBI:txid10090,Fezf2Ai14,Distribution,STPT,Whole brain,CSHL,"Z. Josh Huang, Partha P. Mitra",1-U19-MH114821-01,U19 Huang,BIL,https://download.brainimagelibrary.org/69/7a/697a07d24603a697/170706_KM_FezfAi14female_processed/,,F,https://brainviewer.org:3010/HUA_U19_170706
